FSM,states,transitions,density
fsm340,6523,1643067,0.987797026
fsm341,10871,2743671,0.989742813
fsm342,8699,2193750,0.988957487
fsm343,8699,2193750,0.988957487
fsm346,6555,1647131,0.985406141
fsm347,8699,2193750,0.988957487
fsm348,6523,1643067,0.987797026
fsm349,6523,1643067,0.987797026
fsm350,6523,1643067,0.987797026
fsm351,6531,1644092,0.987202512
fsm353,8697,2193241,0.988955398
fsm354,6523,1643067,0.987797026
fsm355,8721,2196316,0.987616549
fsm356,6523,1643067,0.987797026
fsm357,8699,2193750,0.988957487
fsm359,8699,2193750,0.988957487
fsm360,6523,1643067,0.987797026
fsm361,8717,2195782,0.987829506
fsm362,8736,2198321,0.986820818
fsm363,8699,2193750,0.988957487
fsm364,8699,2193750,0.988957487
fsm365,10871,2743416,0.989650825
fsm366,6523,1643067,0.987797026
fsm367,6523,1643067,0.987797026
fsm369,6523,1643067,0.987797026
fsm37,510,126510,0.972779700
fsm371,8705,2194266,0.988508295
fsm373,2166,546994,0.990339109
fsm374,2166,546994,0.990339109
fsm375,2166,546994,0.990339109
fsm377,2166,546994,0.990339109
fsm378,2166,546994,0.990339109
fsm379,2166,546994,0.990339109
fsm38,510,126510,0.972779700
fsm380,2166,546994,0.990339109
fsm381,2166,546994,0.990339109
fsm382,2166,546994,0.990339109
fsm383,6498,1645308,0.992949867
fsm384,2166,546994,0.990339109
fsm385,6498,1645308,0.992949867
fsm386,6537,1644863,0.986758932
fsm387,6523,1643067,0.987797026
fsm388,6537,1644863,0.986758932
fsm389,6523,1643067,0.987797026
fsm39,116,25317,0.855882353
fsm392,6523,1643067,0.987797026
fsm393,8699,2193750,0.988957487
fsm395,6523,1643067,0.987797026
fsm396,8699,2193750,0.988957487
fsm397,6523,1643067,0.987797026
fsm399,8713,2195291,0.988062012
fsm4,7,56,0.031372549
fsm400,10894,2746490,0.988667984
fsm401,8697,2193241,0.988955398
fsm402,10871,2743671,0.989742813
